id,nom,places,capacite,derniere_mise_a_jour_base,derniere_actualisation_bo,taux_doccupation,geo_point_2d,parking_id,inserted_at,updated_at
29,BLOSSAC TISON,483,665,2023-09-06 01:54:10,2023-09-06 01:54:18,27.368421052631582,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 01:56:57,2023-09-06 01:56:57
30,NOTRE DAME,468,642,2023-09-06 01:54:13,2023-09-06 01:54:18,27.102803738317753,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 01:56:57,2023-09-06 01:56:57
31,HOTEL DE VILLE,397,625,2023-09-06 01:54:13,2023-09-06 01:54:18,36.480000000000004,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 01:56:57,2023-09-06 01:56:57
32,THEATRE,227,320,2023-09-06 01:54:13,2023-09-06 01:54:18,29.062500000000004,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 01:56:57,2023-09-06 01:56:57
33,GARE TOUMAI,367,632,2023-09-06 01:54:12,2023-09-06 01:54:18,41.93037974683544,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 01:56:57,2023-09-06 01:56:57
34,ARRET MINUTE,93,137,2023-09-06 01:54:10,2023-09-06 01:54:18,32.11678832116788,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-06 01:56:57,2023-09-06 01:56:57
35,PALAIS DE JUSTICE,78,70,2023-09-06 01:54:13,2023-09-06 01:54:18,-11.428571428571429,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-06 01:56:57,2023-09-06 01:56:57
36,BLOSSAC TISON,483,665,2023-09-06 01:56:12,2023-09-06 01:56:18,27.368421052631582,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 01:59:27,2023-09-06 01:59:27
37,NOTRE DAME,468,642,2023-09-06 01:56:13,2023-09-06 01:56:18,27.102803738317753,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 01:59:27,2023-09-06 01:59:27
38,HOTEL DE VILLE,398,625,2023-09-06 01:56:13,2023-09-06 01:56:18,36.32,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 01:59:27,2023-09-06 01:59:27
39,THEATRE,227,320,2023-09-06 01:56:13,2023-09-06 01:56:18,29.062500000000004,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 01:59:27,2023-09-06 01:59:27
40,GARE TOUMAI,367,632,2023-09-06 01:56:13,2023-09-06 01:56:18,41.93037974683544,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 01:59:27,2023-09-06 01:59:27
41,ARRET MINUTE,93,137,2023-09-06 01:56:12,2023-09-06 01:56:18,32.11678832116788,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-06 01:59:27,2023-09-06 01:59:27
42,PALAIS DE JUSTICE,78,70,2023-09-06 01:56:13,2023-09-06 01:56:18,-11.428571428571429,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-06 01:59:27,2023-09-06 01:59:27
43,BLOSSAC TISON,483,665,2023-09-06 01:58:12,2023-09-06 01:58:18,27.368421052631582,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 02:01:57,2023-09-06 02:01:57
44,NOTRE DAME,468,642,2023-09-06 01:58:13,2023-09-06 01:58:18,27.102803738317753,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 02:01:57,2023-09-06 02:01:57
45,HOTEL DE VILLE,398,625,2023-09-06 01:58:13,2023-09-06 01:58:18,36.32,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 02:01:57,2023-09-06 02:01:57
46,THEATRE,227,320,2023-09-06 01:58:15,2023-09-06 01:58:18,29.062500000000004,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 02:01:57,2023-09-06 02:01:57
47,GARE TOUMAI,367,632,2023-09-06 01:58:12,2023-09-06 01:58:18,41.93037974683544,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 02:01:57,2023-09-06 02:01:57
48,ARRET MINUTE,93,137,2023-09-06 01:58:12,2023-09-06 01:58:18,32.11678832116788,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-06 02:01:57,2023-09-06 02:01:57
49,PALAIS DE JUSTICE,78,70,2023-09-06 01:58:13,2023-09-06 01:58:18,-11.428571428571429,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-06 02:01:57,2023-09-06 02:01:57
50,BLOSSAC TISON,483,665,2023-09-06 02:02:14,2023-09-06 02:02:20,27.368421052631582,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 02:04:27,2023-09-06 02:04:27
1233,BLOSSAC TISON,325,665,2023-09-06 09:04:53,2023-09-06 09:04:47,51.127819548872175,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 09:07:45,2023-09-06 09:07:45
1244,GARE TOUMAI,226,632,2023-09-06 09:08:55,2023-09-06 09:09:02,64.24050632911393,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 09:10:15,2023-09-06 09:10:15
1248,NOTRE DAME,269,642,2023-09-06 09:10:57,2023-09-06 09:10:49,58.09968847352025,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 09:12:45,2023-09-06 09:12:45
1260,PALAIS DE JUSTICE,49,70,2023-09-06 09:12:58,2023-09-06 09:12:50,30,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-06 09:15:16,2023-09-06 09:15:16
1284,HOTEL DE VILLE,223,625,2023-09-06 09:23:00,2023-09-06 09:22:53,64.32,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 09:25:16,2023-09-06 09:25:16
1290,NOTRE DAME,259,642,2023-09-06 09:24:00,2023-09-06 09:24:01,59.65732087227414,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 09:27:47,2023-09-06 09:27:47
1297,NOTRE DAME,262,642,2023-09-06 09:28:31,2023-09-06 09:28:53,59.19003115264797,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 09:30:17,2023-09-06 09:30:17
1309,PALAIS DE JUSTICE,52,70,2023-09-06 09:30:31,2023-09-06 09:30:54,25.71428571428571,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-06 09:32:48,2023-09-06 09:32:48
51,NOTRE DAME,468,642,2023-09-06 02:02:15,2023-09-06 02:02:20,27.102803738317753,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 02:04:27,2023-09-06 02:04:27
1234,NOTRE DAME,269,642,2023-09-06 09:04:55,2023-09-06 09:04:47,58.09968847352025,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 09:07:45,2023-09-06 09:07:45
1255,NOTRE DAME,269,642,2023-09-06 09:12:58,2023-09-06 09:12:50,58.09968847352025,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 09:15:16,2023-09-06 09:15:16
1267,PALAIS DE JUSTICE,50,70,2023-09-06 09:13:59,2023-09-06 09:14:03,28.57142857142857,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-06 09:17:46,2023-09-06 09:17:46
1272,GARE TOUMAI,224,632,2023-09-06 09:17:58,2023-09-06 09:18:06,64.55696202531645,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 09:20:16,2023-09-06 09:20:16
1278,THEATRE,100,320,2023-09-06 09:21:00,2023-09-06 09:20:56,68.75,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 09:22:46,2023-09-06 09:22:46
1296,BLOSSAC TISON,329,665,2023-09-06 09:28:59,2023-09-06 09:28:53,50.526315789473685,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 09:30:17,2023-09-06 09:30:17
1307,GARE TOUMAI,217,632,2023-09-06 09:31:02,2023-09-06 09:30:54,65.66455696202532,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 09:32:48,2023-09-06 09:32:48
52,HOTEL DE VILLE,398,625,2023-09-06 02:02:15,2023-09-06 02:02:20,36.32,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 02:04:27,2023-09-06 02:04:27
1235,HOTEL DE VILLE,225,625,2023-09-06 09:04:55,2023-09-06 09:04:47,64,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 09:07:45,2023-09-06 09:07:45
1240,BLOSSAC TISON,325,665,2023-09-06 09:08:55,2023-09-06 09:09:02,51.127819548872175,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 09:10:15,2023-09-06 09:10:15
1252,ARRET MINUTE,54,137,2023-09-06 09:10:55,2023-09-06 09:10:49,60.58394160583942,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-06 09:12:45,2023-09-06 09:12:45
1264,THEATRE,101,320,2023-09-06 09:13:59,2023-09-06 09:14:03,68.4375,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 09:17:46,2023-09-06 09:17:46
1271,THEATRE,100,320,2023-09-06 09:17:59,2023-09-06 09:18:06,68.75,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 09:20:16,2023-09-06 09:20:16
1283,NOTRE DAME,262,642,2023-09-06 09:23:00,2023-09-06 09:22:53,59.19003115264797,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 09:25:16,2023-09-06 09:25:16
1293,GARE TOUMAI,223,632,2023-09-06 09:24:00,2023-09-06 09:24:01,64.71518987341773,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 09:27:47,2023-09-06 09:27:47
1300,GARE TOUMAI,218,632,2023-09-06 09:29:01,2023-09-06 09:28:53,65.50632911392405,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 09:30:17,2023-09-06 09:30:17
53,THEATRE,227,320,2023-09-06 02:02:15,2023-09-06 02:02:20,29.062500000000004,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 02:04:27,2023-09-06 02:04:27
1236,THEATRE,101,320,2023-09-06 09:04:25,2023-09-06 09:04:47,68.4375,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 09:07:45,2023-09-06 09:07:45
1246,PALAIS DE JUSTICE,50,70,2023-09-06 09:08:56,2023-09-06 09:09:02,28.57142857142857,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-06 09:10:15,2023-09-06 09:10:15
1249,HOTEL DE VILLE,223,625,2023-09-06 09:10:57,2023-09-06 09:10:49,64.32,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 09:12:45,2023-09-06 09:12:45
1257,THEATRE,100,320,2023-09-06 09:12:58,2023-09-06 09:12:50,68.75,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 09:15:16,2023-09-06 09:15:16
1269,NOTRE DAME,265,642,2023-09-06 09:17:59,2023-09-06 09:18:06,58.72274143302181,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 09:20:16,2023-09-06 09:20:16
1281,PALAIS DE JUSTICE,49,70,2023-09-06 09:21:00,2023-09-06 09:20:56,30,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-06 09:22:46,2023-09-06 09:22:46
1306,THEATRE,104,320,2023-09-06 09:30:32,2023-09-06 09:30:54,67.5,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 09:32:48,2023-09-06 09:32:48
54,GARE TOUMAI,367,632,2023-09-06 02:02:15,2023-09-06 02:02:20,41.93037974683544,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 02:04:27,2023-09-06 02:04:27
1237,GARE TOUMAI,226,632,2023-09-06 09:04:55,2023-09-06 09:04:47,64.24050632911393,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-06 09:07:45,2023-09-06 09:07:45
1245,ARRET MINUTE,56,137,2023-09-06 09:08:55,2023-09-06 09:09:02,59.12408759124088,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-06 09:10:15,2023-09-06 09:10:15
1261,BLOSSAC TISON,325,665,2023-09-06 09:13:56,2023-09-06 09:14:03,51.127819548872175,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 09:17:46,2023-09-06 09:17:46
1270,HOTEL DE VILLE,225,625,2023-09-06 09:17:59,2023-09-06 09:18:06,64,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 09:20:16,2023-09-06 09:20:16
1276,NOTRE DAME,264,642,2023-09-06 09:21:00,2023-09-06 09:20:56,58.87850467289719,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-06 09:22:46,2023-09-06 09:22:46
1287,ARRET MINUTE,55,137,2023-09-06 09:22:59,2023-09-06 09:22:53,59.854014598540154,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-06 09:25:16,2023-09-06 09:25:16
1292,THEATRE,100,320,2023-09-06 09:24:01,2023-09-06 09:24:01,68.75,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 09:27:47,2023-09-06 09:27:47
1299,THEATRE,105,320,2023-09-06 09:28:31,2023-09-06 09:28:53,67.1875,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-06 09:30:17,2023-09-06 09:30:17
1305,HOTEL DE VILLE,227,625,2023-09-06 09:31:02,2023-09-06 09:30:54,63.68000000000001,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-06 09:32:48,2023-09-06 09:32:48
55,ARRET MINUTE,93,137,2023-09-06 02:02:12,2023-09-06 02:02:20,32.11678832116788,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-06 02:04:27,2023-09-06 02:04:27
1238,ARRET MINUTE,61,137,2023-09-06 09:04:53,2023-09-06 09:04:47,55.47445255474452,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-06 09:07:45,2023-09-06 09:07:45
1247,BLOSSAC TISON,325,665,2023-09-06 09:10:55,2023-09-06 09:10:49,51.127819548872175,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-06 09:12:45,2023-09-06 09:12:45
