id,nom,places,capacite,derniere_mise_a_jour_base,derniere_actualisation_bo,taux_doccupation,geo_point_2d,parking_id,inserted_at,updated_at
30,NOTRE DAME,446,642,2023-09-04 23:20:07,2023-09-04 23:20:06,30.529595015576323,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-04 23:23:22,2023-09-04 23:23:22
31,HOTEL DE VILLE,441,625,2023-09-04 23:20:07,2023-09-04 23:20:06,29.439999999999998,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-04 23:23:22,2023-09-04 23:23:22
32,THEATRE,218,320,2023-09-04 23:20:08,2023-09-04 23:20:06,31.874999999999996,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-04 23:23:22,2023-09-04 23:23:22
33,GARE TOUMAI,465,632,2023-09-04 23:20:07,2023-09-04 23:20:06,26.424050632911396,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-04 23:23:22,2023-09-04 23:23:22
34,ARRET MINUTE,96,137,2023-09-04 23:20:06,2023-09-04 23:20:06,29.927007299270077,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-04 23:23:22,2023-09-04 23:23:22
35,PALAIS DE JUSTICE,68,70,2023-09-04 23:20:07,2023-09-04 23:20:06,2.857142857142857,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-04 23:23:22,2023-09-04 23:23:22
36,BLOSSAC TISON,486,665,2023-09-04 23:20:07,2023-09-04 23:20:06,26.917293233082706,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-04 23:23:27,2023-09-04 23:23:27
37,NOTRE DAME,446,642,2023-09-04 23:20:07,2023-09-04 23:20:06,30.529595015576323,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-04 23:23:27,2023-09-04 23:23:27
38,HOTEL DE VILLE,441,625,2023-09-04 23:20:07,2023-09-04 23:20:06,29.439999999999998,"{""lat"": 46.5793235337795, ""lon"": 0.3385507838016221}",2,2023-09-04 23:23:27,2023-09-04 23:23:27
39,THEATRE,218,320,2023-09-04 23:20:08,2023-09-04 23:20:06,31.874999999999996,"{""lat"": 46.58383455409422, ""lon"": 0.33779491061805567}",3,2023-09-04 23:23:27,2023-09-04 23:23:27
40,GARE TOUMAI,465,632,2023-09-04 23:20:07,2023-09-04 23:20:06,26.424050632911396,"{""lat"": 46.58358353103216, ""lon"": 0.3348348830917244}",9,2023-09-04 23:23:27,2023-09-04 23:23:27
41,ARRET MINUTE,96,137,2023-09-04 23:20:06,2023-09-04 23:20:06,29.927007299270077,"{""lat"": 46.583793004495156, ""lon"": 0.3349825350533068}",11,2023-09-04 23:23:27,2023-09-04 23:23:27
42,PALAIS DE JUSTICE,68,70,2023-09-04 23:20:07,2023-09-04 23:20:06,2.857142857142857,"{""lat"": 46.58595804860371, ""lon"": 0.3512954265806957}",12,2023-09-04 23:23:27,2023-09-04 23:23:27
43,BLOSSAC TISON,486,665,2023-09-04 23:20:07,2023-09-04 23:20:06,26.917293233082706,"{""lat"": 46.57505317559496, ""lon"": 0.337126307915689}",0,2023-09-04 23:23:32,2023-09-04 23:23:32
44,NOTRE DAME,446,642,2023-09-04 23:20:07,2023-09-04 23:20:06,30.529595015576323,"{""lat"": 46.58349874703973, ""lon"": 0.3450022616476489}",1,2023-09-04 23:23:32,2023-09-04 23:23:32
